2.06231  0.00800272  1.46776  
1.5347  0.0235257  1.46771  
0.62678  0.0333459  1.46793  
-0.435041  0.0349579  1.46842  
-1.38748  0.0279039  1.46883  
-1.99752  0.0140583  1.46903  
-2.11291  -0.00326855  1.46847  
-1.70456  -0.0196353  1.46801  
-0.875191  -0.0309377  1.46782  
0.171187  -0.0347637  1.46753  
1.17725  -0.0299204  1.46791  
1.8916  -0.0174712  1.46836  
2.13845  -0.000703951  1.46769  
1.85672  0.0162372  1.46788  
1.11589  0.0293296  1.46786  
0.0986142  0.0352986  1.46815  
-0.940889  0.0324342  1.46843  
-1.74735  0.0217141  1.46898  
-2.12206  0.00556596  1.46886  
-1.97069  -0.0118381  1.46809  
-1.33151  -0.0260696  1.46788  
-0.363667  -0.0339628  1.46782  
0.69599  -0.0333332  1.46797  
1.58432  -0.024376  1.46803  
2.08031  -0.00939017  1.4681  
2.06228  0.00795438  1.46786  
1.53463  0.023525  1.46785  
0.626692  0.0333287  1.46815  
-0.435132  0.0349431  1.46823  
-1.38755  0.027926  1.46866  
-1.99754  0.0140596  1.46889  
-2.11291  -0.00317175  1.46848  
-1.7045  -0.0196741  1.46816  
-0.875107  -0.0310695  1.46782  
0.171283  -0.0347819  1.46768  
1.17733  -0.0297926  1.4679  
1.89163  -0.0174407  1.4679  
2.13845  -0.000754399  1.46796  
1.85667  0.0162487  1.46795  
1.11582  0.0293776  1.46814  
0.0985229  0.0352787  1.46799  
-0.940972  0.0323399  1.46864  
-1.74739  0.0216624  1.46911  
-2.12206  0.00567247  1.46875  
-1.97065  -0.0117436  1.46808  
-1.33143  -0.0260805  1.46766  
-0.363579  -0.033931  1.4678  
0.696069  -0.0333901  1.46781  
1.58438  -0.0243978  1.46826  
2.08033  -0.00936999  1.46785  
